date,vehicle_category,maker,electric_vehicles_sold
9/1/2021,2-Wheelers,PURE EV,1337
9/1/2021,2-Wheelers,TVS,688
9/1/2021,2-Wheelers,REVOLT,499
9/1/2021,2-Wheelers,BAJAJ,381
9/1/2021,2-Wheelers,BEING,337
9/1/2021,2-Wheelers,JITENDRA,134
9/1/2021,2-Wheelers,OTHERS,1627
9/1/2022,2-Wheelers,OLA ELECTRIC,8065
9/1/2022,2-Wheelers,OKINAWA,8497
9/1/2022,2-Wheelers,HERO ELECTRIC,8208
9/1/2022,2-Wheelers,AMPERE,6488
9/1/2022,2-Wheelers,TVS,4001
9/1/2022,2-Wheelers,ATHER,6280
9/1/2022,2-Wheelers,BAJAJ,3649
9/1/2022,2-Wheelers,OKAYA EV,954
9/1/2022,2-Wheelers,REVOLT,865
9/1/2022,2-Wheelers,PURE EV,790
9/1/2022,2-Wheelers,BEING,975
9/1/2022,2-Wheelers,JITENDRA,661
9/1/2022,2-Wheelers,OTHERS,3849
9/1/2023,2-Wheelers,OLA ELECTRIC,18926
9/1/2023,2-Wheelers,TVS,15425
9/1/2023,2-Wheelers,ATHER,7107
9/1/2023,2-Wheelers,BAJAJ,7019
9/1/2023,2-Wheelers,AMPERE,4148
9/1/2023,2-Wheelers,OKINAWA,1769
9/1/2023,2-Wheelers,HERO ELECTRIC,835
9/1/2023,2-Wheelers,OKAYA EV,873
9/1/2023,2-Wheelers,BGAUSS,924
9/1/2023,2-Wheelers,BATTRE ELECTRIC,255
9/1/2023,2-Wheelers,KINETIC GREEN,231
9/1/2023,2-Wheelers,REVOLT,879
9/1/2023,2-Wheelers,OTHERS,5355
10/1/2021,2-Wheelers,HERO ELECTRIC,6799
10/1/2021,2-Wheelers,OKINAWA,4166
10/1/2021,2-Wheelers,AMPERE,1083
10/1/2021,2-Wheelers,ATHER,2647
10/1/2021,2-Wheelers,PURE EV,1400
10/1/2021,2-Wheelers,TVS,486
10/1/2021,2-Wheelers,REVOLT,900
10/1/2021,2-Wheelers,BAJAJ,754
10/1/2021,2-Wheelers,BEING,469
10/1/2021,2-Wheelers,JITENDRA,283
10/1/2021,2-Wheelers,OTHERS,1826
10/1/2022,2-Wheelers,OLA ELECTRIC,15391
10/1/2022,2-Wheelers,OKINAWA,14950
10/1/2022,2-Wheelers,HERO ELECTRIC,8868
10/1/2022,2-Wheelers,AMPERE,10113
10/1/2022,2-Wheelers,TVS,5820
10/1/2022,2-Wheelers,ATHER,7356
10/1/2022,2-Wheelers,BAJAJ,3549
10/1/2022,2-Wheelers,OKAYA EV,1968
10/1/2022,2-Wheelers,REVOLT,1041
10/1/2022,2-Wheelers,PURE EV,1047
10/1/2022,2-Wheelers,BEING,1422
10/1/2022,2-Wheelers,JITENDRA,1111
10/1/2022,2-Wheelers,OTHERS,4614
10/1/2023,2-Wheelers,OLA ELECTRIC,23968
10/1/2023,2-Wheelers,TVS,16309
10/1/2023,2-Wheelers,ATHER,8375
10/1/2023,2-Wheelers,BAJAJ,8960
10/1/2023,2-Wheelers,AMPERE,4487
10/1/2023,2-Wheelers,OKINAWA,1457
10/1/2023,2-Wheelers,HERO ELECTRIC,658
10/1/2023,2-Wheelers,OKAYA EV,863
10/1/2023,2-Wheelers,BGAUSS,1157
10/1/2023,2-Wheelers,BATTRE ELECTRIC,227
10/1/2023,2-Wheelers,KINETIC GREEN,389
10/1/2023,2-Wheelers,REVOLT,681
10/1/2023,2-Wheelers,OTHERS,7092
11/1/2021,2-Wheelers,HERO ELECTRIC,7493
11/1/2021,2-Wheelers,OKINAWA,5542
11/1/2021,2-Wheelers,AMPERE,2077
11/1/2021,2-Wheelers,ATHER,2202
11/1/2021,2-Wheelers,PURE EV,1688
11/1/2021,2-Wheelers,TVS,522
11/1/2021,2-Wheelers,REVOLT,780
11/1/2021,2-Wheelers,BAJAJ,728
11/1/2021,2-Wheelers,BEING,912
11/1/2021,2-Wheelers,JITENDRA,273
11/1/2021,2-Wheelers,OTHERS,2317
11/1/2022,2-Wheelers,OLA ELECTRIC,15797
11/1/2022,2-Wheelers,OKINAWA,9068
11/1/2022,2-Wheelers,HERO ELECTRIC,9026
11/1/2022,2-Wheelers,AMPERE,12446
11/1/2022,2-Wheelers,TVS,8147
11/1/2022,2-Wheelers,ATHER,7837
11/1/2022,2-Wheelers,BAJAJ,3057
11/1/2022,2-Wheelers,OKAYA EV,1783
11/1/2022,2-Wheelers,REVOLT,524
11/1/2022,2-Wheelers,PURE EV,925
11/1/2022,2-Wheelers,BEING,1216
11/1/2022,2-Wheelers,JITENDRA,1256
11/1/2022,2-Wheelers,OTHERS,5693
11/1/2023,2-Wheelers,OLA ELECTRIC,29980
11/1/2023,2-Wheelers,TVS,18914
11/1/2023,2-Wheelers,ATHER,9220
11/1/2023,2-Wheelers,BAJAJ,11769
11/1/2023,2-Wheelers,AMPERE,4638
11/1/2023,2-Wheelers,OKINAWA,1587
11/1/2023,2-Wheelers,HERO ELECTRIC,814
11/1/2023,2-Wheelers,OKAYA EV,1281
11/1/2023,2-Wheelers,BGAUSS,1589
11/1/2023,2-Wheelers,BATTRE ELECTRIC,659
11/1/2023,2-Wheelers,KINETIC GREEN,422
11/1/2023,2-Wheelers,REVOLT,663
11/1/2023,2-Wheelers,OTHERS,9707
12/1/2021,2-Wheelers,HERO ELECTRIC,6402
12/1/2021,2-Wheelers,OKINAWA,6184
12/1/2021,2-Wheelers,AMPERE,3410
12/1/2021,2-Wheelers,ATHER,1813
12/1/2021,2-Wheelers,PURE EV,1685
12/1/2021,2-Wheelers,OLA ELECTRIC,240
12/1/2021,2-Wheelers,TVS,1119
12/1/2021,2-Wheelers,REVOLT,835
12/1/2021,2-Wheelers,BAJAJ,642
12/1/2021,2-Wheelers,BEING,1190
12/1/2021,2-Wheelers,JITENDRA,503
12/1/2021,2-Wheelers,OTHERS,2603
12/1/2022,2-Wheelers,OLA ELECTRIC,16919
12/1/2022,2-Wheelers,OKINAWA,5281
12/1/2022,2-Wheelers,HERO ELECTRIC,8100
12/1/2022,2-Wheelers,AMPERE,4592
12/1/2022,2-Wheelers,TVS,9363
12/1/2022,2-Wheelers,ATHER,7693
12/1/2022,2-Wheelers,BAJAJ,3240
12/1/2022,2-Wheelers,OKAYA EV,1445
12/1/2022,2-Wheelers,REVOLT,37
12/1/2022,2-Wheelers,PURE EV,780
12/1/2022,2-Wheelers,BEING,966
12/1/2022,2-Wheelers,JITENDRA,668
12/1/2022,2-Wheelers,OTHERS,5557
12/1/2023,2-Wheelers,OLA ELECTRIC,30588
12/1/2023,2-Wheelers,TVS,12171
12/1/2023,2-Wheelers,ATHER,6471
12/1/2023,2-Wheelers,BAJAJ,10292
12/1/2023,2-Wheelers,AMPERE,3309
12/1/2023,2-Wheelers,OKINAWA,953
12/1/2023,2-Wheelers,HERO ELECTRIC,545
12/1/2023,2-Wheelers,OKAYA EV,700
12/1/2023,2-Wheelers,BGAUSS,1200
12/1/2023,2-Wheelers,BATTRE ELECTRIC,241
12/1/2023,2-Wheelers,KINETIC GREEN,660
12/1/2023,2-Wheelers,REVOLT,673
12/1/2023,2-Wheelers,OTHERS,7691
1/1/2022,2-Wheelers,HERO ELECTRIC,8238
1/1/2022,2-Wheelers,OKINAWA,5737
1/1/2022,2-Wheelers,AMPERE,4366
1/1/2022,2-Wheelers,ATHER,1881
1/1/2022,2-Wheelers,PURE EV,1691
1/1/2022,2-Wheelers,OLA ELECTRIC,1107
1/1/2022,2-Wheelers,TVS,1155
1/1/2022,2-Wheelers,REVOLT,673
1/1/2022,2-Wheelers,BAJAJ,612
1/1/2022,2-Wheelers,BEING,1062
1/1/2022,2-Wheelers,JITENDRA,535
1/1/2022,2-Wheelers,OTHERS,3065
1/1/2023,2-Wheelers,OLA ELECTRIC,20148
1/1/2023,2-Wheelers,OKINAWA,4407
1/1/2023,2-Wheelers,HERO ELECTRIC,6399
1/1/2023,2-Wheelers,AMPERE,4456
1/1/2023,2-Wheelers,TVS,10462
1/1/2023,2-Wheelers,ATHER,9224
1/1/2023,2-Wheelers,BAJAJ,2252
1/1/2023,2-Wheelers,OKAYA EV,1265
1/1/2023,2-Wheelers,REVOLT,14
1/1/2023,2-Wheelers,PURE EV,717
1/1/2023,2-Wheelers,BEING,571
1/1/2023,2-Wheelers,JITENDRA,522
1/1/2023,2-Wheelers,OTHERS,4241
1/1/2024,2-Wheelers,OLA ELECTRIC,32275
1/1/2024,2-Wheelers,TVS,15153
1/1/2024,2-Wheelers,ATHER,9244
1/1/2024,2-Wheelers,BAJAJ,10753
1/1/2024,2-Wheelers,AMPERE,2505
1/1/2024,2-Wheelers,OKINAWA,675
1/1/2024,2-Wheelers,HERO ELECTRIC,413
1/1/2024,2-Wheelers,OKAYA EV,574
1/1/2024,2-Wheelers,BGAUSS,1469
1/1/2024,2-Wheelers,BATTRE ELECTRIC,284
1/1/2024,2-Wheelers,KINETIC GREEN,810
1/1/2024,2-Wheelers,REVOLT,524
1/1/2024,2-Wheelers,OTHERS,6664
2/1/2022,2-Wheelers,HERO ELECTRIC,7773
2/1/2022,2-Wheelers,OKINAWA,6122
2/1/2022,2-Wheelers,AMPERE,4431
2/1/2022,2-Wheelers,ATHER,2232
2/1/2022,2-Wheelers,PURE EV,1428
2/1/2022,2-Wheelers,OLA ELECTRIC,3911
2/1/2022,2-Wheelers,TVS,1560
2/1/2022,2-Wheelers,REVOLT,1128
2/1/2022,2-Wheelers,BAJAJ,1372
2/1/2022,2-Wheelers,BEING,1149
2/1/2022,2-Wheelers,JITENDRA,583
2/1/2022,2-Wheelers,OTHERS,4033
2/1/2023,2-Wheelers,OLA ELECTRIC,17762
2/1/2023,2-Wheelers,OKINAWA,3848
2/1/2023,2-Wheelers,HERO ELECTRIC,5863
2/1/2023,2-Wheelers,AMPERE,6003
2/1/2023,2-Wheelers,TVS,12671
2/1/2023,2-Wheelers,ATHER,10069
2/1/2023,2-Wheelers,BAJAJ,2537
2/1/2023,2-Wheelers,OKAYA EV,1232
2/1/2023,2-Wheelers,REVOLT,79
2/1/2023,2-Wheelers,PURE EV,488
2/1/2023,2-Wheelers,BEING,337
2/1/2023,2-Wheelers,JITENDRA,308
2/1/2023,2-Wheelers,OTHERS,4874
2/1/2024,2-Wheelers,OLA ELECTRIC,33967
2/1/2024,2-Wheelers,TVS,14431
2/1/2024,2-Wheelers,ATHER,8957
2/1/2024,2-Wheelers,BAJAJ,11603
2/1/2024,2-Wheelers,AMPERE,2577
2/1/2024,2-Wheelers,OKINAWA,652
2/1/2024,2-Wheelers,HERO ELECTRIC,323
2/1/2024,2-Wheelers,OKAYA EV,649
2/1/2024,2-Wheelers,BGAUSS,1334
2/1/2024,2-Wheelers,BATTRE ELECTRIC,219
2/1/2024,2-Wheelers,KINETIC GREEN,624
2/1/2024,2-Wheelers,REVOLT,473
2/1/2024,2-Wheelers,OTHERS,6154
3/1/2022,2-Wheelers,HERO ELECTRIC,13652
3/1/2022,2-Wheelers,OKINAWA,8586
3/1/2022,2-Wheelers,AMPERE,6666
3/1/2022,2-Wheelers,ATHER,2232
3/1/2022,2-Wheelers,PURE EV,2065
3/1/2022,2-Wheelers,OLA ELECTRIC,9143
3/1/2022,2-Wheelers,TVS,2391
3/1/2022,2-Wheelers,REVOLT,1413
3/1/2022,2-Wheelers,BAJAJ,855
3/1/2022,2-Wheelers,BEING,1013
3/1/2022,2-Wheelers,JITENDRA,1052
3/1/2022,2-Wheelers,OTHERS,5330
3/1/2023,2-Wheelers,OLA ELECTRIC,22398
3/1/2023,2-Wheelers,OKINAWA,4509
3/1/2023,2-Wheelers,HERO ELECTRIC,6661
3/1/2023,2-Wheelers,AMPERE,9736
3/1/2023,2-Wheelers,TVS,16896
3/1/2023,2-Wheelers,ATHER,12180
3/1/2023,2-Wheelers,BAJAJ,4552
3/1/2023,2-Wheelers,OKAYA EV,1765
3/1/2023,2-Wheelers,REVOLT,1140
3/1/2023,2-Wheelers,PURE EV,584
3/1/2023,2-Wheelers,BEING,446
3/1/2023,2-Wheelers,JITENDRA,350
3/1/2023,2-Wheelers,OTHERS,5089
3/1/2024,2-Wheelers,OLA ELECTRIC,44630
3/1/2024,2-Wheelers,TVS,26158
3/1/2024,2-Wheelers,ATHER,17012
3/1/2024,2-Wheelers,BAJAJ,17716
3/1/2024,2-Wheelers,AMPERE,3108
3/1/2024,2-Wheelers,OKINAWA,673
3/1/2024,2-Wheelers,HERO ELECTRIC,316
3/1/2024,2-Wheelers,OKAYA EV,1218
3/1/2024,2-Wheelers,BGAUSS,3070
3/1/2024,2-Wheelers,BATTRE ELECTRIC,625
3/1/2024,2-Wheelers,KINETIC GREEN,3915
3/1/2024,2-Wheelers,REVOLT,585
3/1/2024,2-Wheelers,OTHERS,10579
